"Name","Slug","Nation","Class","Tier","Type","Hitpoints","Effective HP","Armor","Torpedo Protection","Main Battery","Range","Reload Time","Turret Turn Time","Gun Traverse","Sigma","HE Damage","HE Alpha Strike","HE DPM","Fires/Min","AP Damage","Overmatch","AP Alpha Strike","AP DPM","Secondary Range","Sec Battery","AA Max DPS","AA Max Range","Max Speed","Turning Circle","Rudder Shift","Surface Detect","Air Detect","Smoke Penalty","Torp Layout","Torp Range","Torp Damage","Torp Speed","Torp Reload","Torp Detect","Consumables","Mod Slot 1","Mod Slot 2","Mod Slot 3","Mod Slot 4"
"Queen Mary","queen-mary","U.K.","Battleship","I","Premium","48,800","80,032","13-254 mm","8%","343 mm 4x2","14.80 km","28.0 s","45.0 s","4.0°/s","2.00","5,050","40,400","86,571","2.10","9,450","23 mm","75,600","162,000","4.00 km","102 mm 16x1","42","3.00 km","27.5 kt","740 m","13.3 s","12.10 km","9.70 km","10.30 km","","","","","","","","","","",""
"Ragnarok","ragnarok","Japan","Battleship","VI","Premium","66,500","102,809","6-457 mm","25%","410 mm 4x2","16.00 km","28.0 s","40.0 s","4.5°/s","1.90","6,000","48,000","102,857","1.95","12,000","28 mm","96,000","205,714","5.00 km","","228","5.00 km","27.0 kt","770 m","12.2 s","14.60 km","11.80 km","14.40 km","","","","","","","","","","",""
"Rahmat","rahmat","Pan","Cruiser","V","Tech Tree","23,600","23,600","10-89 mm","7%","133 mm 5x2","14.00 km","7.5 s","18.0 s","10.0°/s","2.05","1,900","19,000","152,000","4.52","2,550","9 mm","25,500","204,000","","","102","4.50 km","32.3 kt","580 m","9.1 s","11.10 km","7.00 km","5.50 km","","","","","","","","","","",""
"Ranger","ranger","U.S.A.","Aircraft Carrier","V","Tech Tree","44,900","44,900","6-51 mm","0%","","","","","","","","","","","","","","","4.50 km","127 mm 8x1","306","4.20 km","29.5 kt","1010 m","11.4 s","13.00 km","9.10 km","2.00 km","","","","","","","","","","",""
"Rasputin","rasputin","U.S.S.R.","Battleship","V","Premium","44,800","63,616","6-400 mm","13%","305 mm 4x3","14.50 km","30.0 s","48.6 s","3.7°/s","2.00","4,500","54,000","108,000","1.98","8,600","21 mm","103,200","206,400","4.00 km","130 mm 20x1","9","3.00 km","25.0 kt","660 m","10.5 s","12.50 km","10.50 km","10.00 km","","","","","","","","","","",""
"Rattlehead","rattlehead","U.S.A.","Cruiser","IV","Premium","27,000","27,000","6-76 mm","0%","152 mm 8x1","13.40 km","7.0 s","18.0 s","10.0°/s","2.00","2,200","26,400","226,286","6.72","3,100","10 mm","37,200","318,857","","","11","3.50 km","34.0 kt","600 m","5.7 s","11.10 km","6.70 km","5.10 km","","","","","","","","","","",""
"Renown","renown","U.K.","Battleship","V","Tech Tree","55,200","78,384","16-330 mm","13%","381 mm 3x2","15.50 km","25.0 s","45.0 s","4.0°/s","1.80","5,350","32,100","77,040","2.20","11,350","26 mm","68,100","163,440","4.50 km","114 mm 10x2","281","5.00 km","29.9 kt","840 m","14.3 s","13.80 km","11.10 km","12.70 km","","","","","","","","","","",""
"République","republique","France","Battleship","VIII","Premium","76,000","107,920","4-590 mm","55%","431 mm 2x4","17.60 km","25.0 s","36.0 s","5.0°/s","2.00","6,000","48,000","115,200","2.39","14,000","30 mm","112,000","268,800","6.00 km","127 mm 8x2","465","5.20 km","30.0 kt","980 m","18.3 s","16.10 km","12.90 km","16.00 km","","","","","","","","","","",""
"Repulse","repulse","U.K.","Battleship","V","Premium","56,100","79,662","16-279 mm","16%","381 mm 3x2","16.10 km","26.0 s","30.0 s","6.0°/s","2.00","5,300","31,800","73,385","2.12","11,400","26 mm","68,400","157,846","4.00 km","102 mm 6x1","113","3.50 km","31.7 kt","860 m","14.4 s","14.20 km","11.40 km","13.00 km","","","","","","","","","","",""
"Resistance","resistance","U.K.","Battleship","VI","Premium","59,000","83,780","16-330 mm","13%","381 mm 3x2","15.80 km","24.0 s","45.0 s","4.0°/s","2.00","5,350","32,100","80,250","","12,000","26 mm","72,000","180,000","5.00 km","114 mm 4x2","311","5.00 km","29.9 kt","840 m","14.3 s","14.10 km","11.30 km","12.90 km","","","","","","","","","","",""
"Rhein","rhein","Germany","Aircraft Carrier","III","Tech Tree","32,300","32,300","10-60 mm","0%","","","","","","","","","","","","","","","3.50 km","88 mm 2x2","46","4.00 km","26.0 kt","760 m","8.6 s","10.70 km","7.50 km","2.00 km","","","","","","","","","","",""
"Rhode Island","rhode-island","U.S.A.","Battleship","★","Premium","87,500","124,250","6-439mm","26%","356 mm 3x4","17.20 km","22.0 s","36.0 s","5.0°/s","1.70","5,000","60,000","163,636","2.70","9,500","24 mm","114,000","310,909","7.50 km","127 mm 10x2","826","5.00 km","33.0 kt","890 m","12.1 s","16.10 km","12.90 km","14.10 km","","","","","","","","","","",""
"Richelieu","richelieu","France","Battleship","VII","Tech Tree","63,700","90,454","18-430 mm","35%","380 mm 2x4","17.60 km","30.0 s","36.0 s","5.0°/s","1.80","5,400","43,200","86,400","1.94","11,900","26 mm","95,200","190,400","5.00 km","152 mm 9x3","462","5.00 km","32.0 kt","850 m","15.4 s","15.30 km","12.20 km","13.90 km","","","","","","","","","","",""
"Riga","riga","U.S.S.R.","Cruiser","VII","Tech Tree","42,000","56,112","16-260 mm","19%","220 mm 3x3","16.10 km","14.5 s","31.0 s","5.8°/s","1.85","3,050","27,450","113,586","3.07","5,750","15 mm","51,750","214,138","7.00 km","130 mm 6x2","188","5.20 km","33.5 kt","920 m","11.5 s","14.20 km","8.50 km","8.80 km","","","","","","","","","","",""
"Rio de Janeiro","rio-de-janeiro","Pan","Battleship","I","Premium","48,400","68,728","13-305 mm","19%","305 mm 7x2","14.90 km","31.0 s","60.0 s","3.0°/s","1.70","5,200","72,800","140,903","1.93","8,100","21 mm","113,400","219,484","4.00 km","76 mm 10x1","","","22.0 kt","670 m","13.4 s","13.00 km","10.40 km","10.00 km","","","","","","","","","","",""
"Rochester","rochester","U.S.A.","Cruiser","VII","Premium","41,900","55,978","16-203 mm","4%","203 mm 3x3","15.80 km","11.0 s","25.7 s","7.0°/s","2.00","2,800","25,200","137,455","4.05","5,000","14 mm","45,000","245,455","5.00 km","127 mm 6x2","370","5.00 km","33.0 kt","750 m","9.4 s","14.10 km","8.90 km","9.10 km","","","","","","","","","","",""
"Rodney","rodney","U.K.","Battleship","VII","Premium","69,100","116,088","9-406mm","19%","406 mm 3x3","16.80 km","27.0 s","45.0 s","4.0°/s","2.00","5,950","53,550","119,000","2.15","12,000","28 mm","108,000","240,000","5.00 km","120 mm 6x1","369","4.50 km","23.8 kt","760 m","14.6 s","15.30 km","12.20 km","14.70 km","","","","","","","","","","",""
"Roma","roma","Italy","Battleship","VII","Premium","65,400","102,024","13-380 mm","38%","381 mm 3x3","16.80 km","30.0 s","30.0 s","6.0°/s","1.80","5,800","52,200","104,400","1.83","12,000","26 mm","108,000","216,000","5.00 km","90 mm 12x1","297","4.00 km","30.0 kt","810 m","15.6 s","14.50 km","12.20 km","12.10 km","","","","","","","","","","",""
"Romulus","romulus","Europe","Destroyer","II","Tech Tree","6,800","6,800","6 mm","0%","120 mm 3x1","8.80 km","5.5 s","18.0 s","10.0°/s","2.00","1,550","4,650","50,727","2.13","2,000","8 mm","6,000","65,455","","","7","2.00 km","34.0 kt","440 m","2.1 s","6.10 km","2.80 km","2.00 km","","","","","","","","","","",""
"Rooke","rooke","U.K.","Battleship","VI","Tech Tree","59,200","84,064","16-457 mm","13%","381 mm 3x3","15.80 km","31.0 s","30.0 s","6.0°/s","1.50","5,350","48,150","93,194","1.89","11,400","26 mm","102,600","198,581","5.00 km","114 mm 6x2","251","5.00 km","31.9 kt","950 m","14.9 s","14.10 km","11.30 km","12.90 km","","","","","","","","","","",""
"Roon","roon","Germany","Cruiser","VIII","Tech Tree","49,500","66,132","16-150 mm","19%","203 mm 3x2","15.90 km","9.5 s","16.4 s","11.0°/s","2.00","3,000","27,000","170,526","4.51","6,000","14 mm","54,000","341,053","5.00 km","105 mm 6x2","247","4.50 km","32.5 kt","780 m","10.6 s","13.80 km","8.30 km","8.60 km","","","","","","","","","","",""
"Ruggiero di Lauria","ruggiero-di-lauria","Italy","Battleship","★","Premium","79,200","131,472","19-457 mm","39%","457 mm 4x2","17.50 km","28.0 s","30.0 s","6.0°/s","2.00","","","","","14,900","31 mm","119,200","255,429","5.00 km","135 mm 8x2","414","4.00 km","35.0 kt","1000 m","17.0 s","15.60 km","12.50 km","15.50 km","","","","","","","","","","",""
"Ryūjō","ryujo","Japan","Aircraft Carrier","V","Tech Tree","39,600","39,600","6-30 mm","0%","","","","","","","","","","","","","","","4.00 km","127 mm 6x2","115","5.00 km","28.0 kt","770 m","13.4 s","12.40 km","8.70 km","2.00 km","","","","","","","","","","",""
"Saint-Louis","saint-louis","France","Cruiser","VIII","Tech Tree","44,000","56,320","6-140 mm","19%","203 mm 3x3","15.90 km","7.5 s","25.7 s","7.0°/s","2.00","2,950","26,550","212,400","6.15","5,050","14 mm","45,450","363,600","5.00 km","100 mm 7x2","256","5.00 km","33.0 kt","720 m","14.2 s","13.80 km","8.30 km","8.20 km","","","","","","","","","","",""
"Saipan","saipan","U.S.A.","Aircraft Carrier","VII","Premium","47,900","47,900","6-152 mm","0%","","","","","","","","","","","","","","","","","284","3.50 km","33.0 kt","920 m","15.9 s","13.80 km","9.60 km","2.00 km","","","","","","","","","","",""
"Salem","salem","U.S.A.","Cruiser","VIII","Premium","44,700","59,719","6-203 mm","7%","203 mm 3x3","15.50 km","5.5 s","30.0 s","6.0°/s","2.00","2,300","20,700","225,818","8.10","4,000","14 mm","36,000","392,727","5.00 km","127 mm 6x2","426","5.00 km","33.0 kt","770 m","8.6 s","13.00 km","7.80 km","7.50 km","","","","","","","","","","",""
"Sampson","sampson","U.S.A.","Destroyer","II","Premium","9,100","9,100","6-13 mm","0%","102 mm 4x1","8.60 km","7.0 s","15.7 s","11.5°/s","2.00","1,500","6,000","51,429","1.88","1,700","7 mm","6,800","58,286","","","5","2.00 km","34.0 kt","520 m","2.7 s","5.40 km","2.80 km","2.00 km","","","","","","","","","","",""
"San Diego","san-diego","U.S.A.","Cruiser","VII","Premium","33,500","44,756","6-89mm","0%","127 mm 8x2","15.30 km","6.0 s","7.2 s","25.0°/s","2.00","","","","","2,100","8 mm","29,400","294,000","","","1316","5.00 km","32.5 kt","610 m","7.3 s","11.90 km","7.10 km","5.20 km","","","","","","","","","","",""
"Scarlet Thunder","scarlet-thunder","U.K.","Battleship","VIII","Premium","75,200","123,328","10-381mm","28%","419 mm 3x3","17.20 km","30.0 s","39.0 s","4.6°/s","2.00","7,200","64,800","129,600","1.99","11,500","29 mm","103,500","207,000","5.20 km","114 mm 8x2","556","5.00 km","32.0 kt","910 m","13.0 s","15.60 km","12.50 km","15.50 km","","","","","","","","","","",""
"Scharnhorst","scharnhorst","Germany","Battleship","VI","Premium","56,300","79,946","13-360 mm","22%","283 mm 3x3","17.90 km","20.0 s","25.0 s","7.2°/s","2.00","3,200","28,800","86,400","2.60","7,600","19 mm","68,400","205,200","5.00 km","150 mm 4x1","197","4.50 km","30.0 kt","800 m","14.5 s","14.00 km","11.70 km","10.70 km","","","","","","","","","","",""
"Scharnhorst &#x27;43","scharnhorst-43","Germany","Battleship","VII","Premium","65,000","92,300","13-360mm","22%","283 mm 3x3","17.00 km","22.0 s","25.0 s","7.2°/s","2.00","3,360","30,240","82,473","2.36","7,980","19 mm","71,820","195,873","7.00 km","105 mm 7x2","197","4.50 km","30.0 kt","800 m","14.5 s","14.80 km","12.20 km","10.90 km","","","","","","","","","","",""
"Schill","schill","Germany","Cruiser","VII","Premium","52,400","67,072","16-360 mm","13%","283 mm 2x3","15.60 km","18.0 s","20.0 s","9.0°/s","2.00","3,200","19,200","64,000","2.46","8,400","19 mm","50,400","168,000","6.00 km","105 mm 6x2","200","4.50 km","32.5 kt","760 m","12.4 s","13.60 km","8.20 km","9.80 km","","","","","","","","","","",""
"Schlieffen","schlieffen","Germany","Battleship","★","Premium","76,100","108,062","19-380 mm","25%","420 mm 4x2","16.60 km","32.0 s","30.0 s","6.0°/s","1.70","4,600","36,800","69,000","1.72","12,950","29 mm","103,600","194,250","8.00 km","105 mm 12x2","445","5.00 km","34.1 kt","970 m","16.1 s","15.80 km","12.70 km","15.70 km","","","","","","","","","","",""
"Schröder","schroder","Germany","Cruiser","VIII","Premium","59,300","75,904","16-305 mm","22%","305 mm 4x2","15.70 km","18.0 s","25.7 s","7.0°/s","2.00","3,150","25,200","84,000","2.88","7,700","21 mm","61,600","205,333","6.80 km","128 mm 10x2","343","5.20 km","32.5 kt","840 m","13.6 s","13.10 km","7.90 km","10.00 km","","","","","","","","","","",""
"Seattle","seattle","U.S.A.","Cruiser","VIII","Tech Tree","43,600","55,808","13-178 mm","4%","152 mm 4x3","13.90 km","6.5 s","22.5 s","8.0°/s","2.05","2,300","27,600","254,769","7.72","3,500","10 mm","42,000","387,692","","","291","6.00 km","33.0 kt","750 m","12.1 s","12.80 km","7.70 km","6.30 km","","","","","","","","","","",""
"Sejong","sejong","Pan","Cruiser","VIII","Tech Tree","35,000","44,800","6-95 mm","19%","127 mm 6x2","15.00 km","5.2 s","4.5 s","40.0°/s","2.05","1,800","21,600","249,231","7.82","2,100","8 mm","25,200","290,769","","","423","5.20 km","33.0 kt","670 m","7.7 s","11.70 km","7.40 km","5.90 km","","","","","","","","","","",""
"Serov","serov","U.S.S.R.","Aircraft Carrier","V","Tech Tree","39,500","39,500","10-120 mm","0%","","","","","","","","","","","","","","","4.50 km","85 mm 8x2","139","4.50 km","35.5 kt","880 m","9.5 s","12.90 km","9.00 km","2.00 km","","","","","","","","","","",""
"Sevastopol","sevastopol","U.S.S.R.","Cruiser","★","Premium","62,600","88,892","","34%","380 mm 3x2","16.00 km","22.0 s","36.0 s","5.0°/s","2.05","5,350","32,100","87,545","2.50","11,300","26 mm","67,800","184,909","5.00 km","100 mm 8x2","467","5.00 km","33.5 kt","980 m","15.1 s","14.60 km","8.80 km","13.30 km","","","","","","","","","","",""
"Sharki","sharki","Germany","Destroyer","★","Premium","20,800","20,800","13-20mm","0%","128 mm 3x2","10.80 km","4.1 s","10.0 s","18.0°/s","2.00","1,500","9,000","131,707","5.17","3,000","8 mm","18,000","263,415","","","283","5.00 km","37.5 kt","700 m","4.5 s","7.10 km","10.80 km","2.60 km","","","","","","","","","","",""
"Shchors","shchors","U.S.S.R.","Cruiser","VI","Tech Tree","32,200","32,200","13-100 mm","0%","152 mm 4x3","15.30 km","8.0 s","25.0 s","7.2°/s","2.00","2,300","27,600","207,000","5.88","3,400","10 mm","40,800","306,000","4.50 km","100 mm 4x1","133","5.00 km","35.5 kt","900 m","8.8 s","13.50 km","8.10 km","6.90 km","","","","","","","","","","",""
"Shenyang","shenyang","Pan","Destroyer","III","Tech Tree","10,600","10,600","6-14 mm","0%","127 mm 4x1","9.20 km","6.5 s","12.0 s","15.0°/s","2.00","1,800","7,200","66,462","1.39","2,200","8 mm","8,800","81,231","","","15","1.20 km","39.0 kt","550 m","2.8 s","5.70 km","2.90 km","2.20 km","","","","","","","","","","",""
"Shi An","shi-an","Pan","Cruiser","I","Tech Tree","12,000","12,000","6-38 mm","0%","152 mm 6x1","9.70 km","7.0 s","22.5 s","8.0°/s","2.00","2,100","8,400","72,000","2.16","","","","","","","2","3.00 km","22.0 kt","460 m","4.6 s","8.70 km","5.20 km","3.80 km","","","","","","","","","","",""
"Shimakaze","shimakaze","Japan","Destroyer","★","Premium","17,900","17,900","6-20 mm","0%","127 mm 3x2","10.70 km","6.5 s","22.8 s","7.9°/s","2.00","1,800","10,800","99,692","3.26","2,200","8 mm","13,200","121,846","","","72","5.00 km","39.0 kt","690 m","3.0 s","6.90 km","3.50 km","2.60 km","","","","","","","","","","",""
"Shimanto","shimanto","Japan","Cruiser","VII","Tech Tree","44,500","59,452","13-140 mm","13%","150 mm 5x3","15.30 km","15.0 s","6.0 s","30.0°/s","2.00","2,650","39,750","159,000","3.18","3,100","10 mm","46,500","186,000","5.00 km","100 mm 4x2","223","6.00 km","34.5 kt","830 m","8.1 s","12.20 km","7.30 km","5.80 km","","","","","","","","","","",""
"Shinonome","shinonome","Japan","Destroyer","V","Premium","12,900","12,900","6-20 mm","0%","127 mm 3x2","10.30 km","9.0 s","30.0 s","6.0°/s","2.00","1,800","10,800","72,000","2.35","2,200","8 mm","13,200","88,000","","","4","1.20 km","36.0 kt","640 m","3.2 s","6.20 km","3.10 km","2.30 km","","10.30 km","1,800","","","","","","","",""
"Ship Smasha","ship-smasha","U.K.","Destroyer","VI","Premium","14,300","14,300","6-16 mm","0%","120 mm 3x2","8.40 km","4.0 s","18.0 s","10.0°/s","2.00","1,700","10,200","153,000","6.48","2,100","8 mm","12,600","189,000","","","39","2.50 km","38.5 kt","590 m","3.5 s","6.90 km","3.50 km","2.50 km","","","","","","","","","","",""
"Shiratsuyu","shiratsuyu","Japan","Destroyer","VI","Tech Tree","12,800","12,800","6-20 mm","0%","127 mm 2x2","10.80 km","5.0 s","30.0 s","6.0°/s","2.00","1,800","9,000","108,000","3.65","2,200","8 mm","11,000","132,000","","","59","3.10 km","34.0 kt","590 m","3.1 s","6.80 km","3.40 km","2.50 km","","","","","","","","","","",""
"Shōkaku","shokaku","Japan","Aircraft Carrier","VII","Tech Tree","51,400","51,400","6-215 mm","25%","","","","","","","","","","","","","","","4.50 km","127 mm 2x2","261","5.00 km","34.0 kt","1130 m","13.1 s","14.60 km","9.30 km","2.00 km","","","","","","","","","","",""
"Siegfried","siegfried","Germany","Cruiser","VII","Premium","55,000","70,400","16-360 mm","22%","380 mm 3x2","16.20 km","26.0 s","36.0 s","5.0°/s","2.00","4,400","26,400","60,923","2.12","11,600","26 mm","69,600","160,615","5.00 km","128 mm 7x2","354","5.20 km","33.5 kt","880 m","14.0 s","13.00 km","8.20 km","12.50 km","","","","","","","","","","",""
"Sims","sims","U.S.A.","Destroyer","VI","Premium","13,800","13,800","1-20 mm","0%","127 mm 4x1","10.80 km","3.3 s","5.3 s","34.0°/s","2.00","1,800","7,200","130,909","3.37","2,100","8 mm","8,400","152,727","","","65","5.00 km","38.5 kt","500 m","2.7 s","7.10 km","3.60 km","2.60 km","","","","","","","","","","",""
"Sims Black","sims-black","U.S.A.","Destroyer","VI","Premium","13,800","13,800","1-20 mm","0%","127 mm 4x1","10.80 km","3.3 s","5.3 s","34.0°/s","2.00","1,800","7,200","130,909","3.37","2,100","8 mm","8,400","152,727","","","65","5.00 km","38.5 kt","500 m","2.7 s","7.10 km","3.60 km","2.60 km","","","","","","","","","","",""
"Sinop","sinop","U.S.S.R.","Battleship","VI","Tech Tree","65,000","83,200","12-400 mm","16%","406 mm 3x3","16.10 km","33.0 s","60.0 s","3.0°/s","1.50","5,850","52,650","95,727","1.80","12,000","28 mm","108,000","196,364","4.50 km","100 mm 4x2","220","5.20 km","27.0 kt","960 m","12.9 s","14.60 km","11.60 km","14.10 km","","","","","","","","","","",""
"Siroco","siroco","France","Destroyer","I","Premium","11,900","11,900","3-10 mm","0%","130 mm 4x1","10.00 km","8.0 s","18.0 s","10.0°/s","2.00","1,900","7,600","57,000","2.36","2,300","9 mm","9,200","69,000","","","10","3.00 km","33.0 kt","550 m","3.0 s","5.70 km","3.00 km","2.30 km","","","","","","","","","","",""
"Skåne","skane","Europe","Destroyer","VI","Tech Tree","13,000","16,640","6-16 mm","0%","120 mm 2x2","10.70 km","3.2 s","18.0 s","10.0°/s","2.00","1,700","6,800","127,500","4.72","2,150","8 mm","8,600","161,250","","","88","5.00 km","35.0 kt","610 m","3.2 s","6.80 km","3.40 km","2.40 km","","","","","","","","","","",""
"Småland","smaland","Europe","Destroyer","VIII","Tech Tree","18,500","23,680","6-20 mm","0%","120 mm 2x2","11.00 km","2.1 s","7.2 s","25.0°/s","2.00","1,750","7,000","200,000","8.10","2,100","8 mm","8,400","240,000","","","329","5.20 km","35.0 kt","660 m","4.3 s","7.00 km","3.50 km","2.50 km","","","","","","","","","","",""
"Smith","smith","U.S.A.","Destroyer","II","Premium","7,300","7,300","6-10 mm","0%","76.2 mm 5x1","7.90 km","3.5 s","18.0 s","10.0°/s","2.00","1,100","5,500","94,286","3.17","1,100","5 mm","5,500","94,286","","","3","1.00 km","35.0 kt","480 m","2.0 s","5.40 km","2.80 km","2.00 km","","","","","","","","","","",""
"Smith A","smith-a","U.S.A.","Destroyer","II","Premium","7,300","7,300","6-10 mm","0%","76.2 mm 5x1","7.90 km","3.5 s","18.0 s","10.0°/s","2.00","1,100","5,500","94,286","3.17","1,100","5 mm","5,500","94,286","","","3","1.00 km","35.0 kt","480 m","2.0 s","5.40 km","2.80 km","2.00 km","","","","","","","","","","",""
"Somers CE","somers-ce","U.S.A.","Destroyer","VII","Premium","17,300","17,300","3-20 mm","0%","127 mm 4x2","10.90 km","6.0 s","12.2 s","14.8°/s","2.00","1,800","14,400","144,000","3.37","2,100","8 mm","16,800","168,000","","","22","3.10 km","38.6 kt","620 m","3.9 s","7.00 km","3.60 km","2.60 km","","","","","","","","","","",""
"Somme","somme","U.K.","Destroyer","VIII","Premium","20,100","24,120","6-20mm","40%","113 mm 3x2","10.90 km","4.0 s","9.0 s","20.0°/s","2.00","1,700","10,200","153,000","5.90","2,100","7 mm","12,600","189,000","","","173","5.00 km","34.0 kt","610 m","4.2 s","6.90 km","10.90 km","2.40 km","","","","","","","","","","",""
"Soobrazitelny","soobrazitelny","U.S.S.R.","Destroyer","I","Tech Tree","11,300","11,300","10-16 mm","0%","130 mm 4x1","10.20 km","7.0 s","30.0 s","6.0°/s","2.00","1,900","7,600","65,143","2.69","2,500","9 mm","10,000","85,714","","","66","3.20 km","36.5 kt","610 m","5.5 s","6.50 km","3.20 km","2.50 km","","","","","","","","","","",""
"South Carolina","south-carolina","U.S.A.","Battleship","III","Premium","35,000","49,700","10-305 mm","13%","305 mm 4x2","14.25 km","28.0 s","45.0 s","4.0°/s","1.90","4,500","36,000","77,143","1.99","8,500","21 mm","68,000","145,714","4.50 km","76.2 mm 22x1","","","15.8 kt","480 m","14.9 s","12.50 km","10.00 km","9.50 km","","","","","","","","","","",""
"Southern Dragon","southern-dragon","Japan","Cruiser","V","Premium","39,200","39,200","6-102 mm","13%","203 mm 5x2","14.90 km","14.0 s","45.0 s","4.0°/s","2.00","3,300","33,000","141,429","3.62","4,700","14 mm","47,000","201,429","4.50 km","127 mm 4x2","151","4.00 km","35.0 kt","780 m","7.1 s","12.00 km","7.20 km","6.70 km","","","","","","","","","","",""
"Sov. Soyuz","sov-soyuz","U.S.S.R.","Battleship","VIII","Tech Tree","88,100","112,768","19-495 mm","37%","306 mm 3x3","17.40 km","33.0 s","30.0 s","6.0°/s","1.70","5,800","52,200","94,909","1.80","13,250","21 mm","119,250","216,818","5.00 km","100 mm 4x2","187","5.00 km","28.0 kt","950 m","14.9 s","15.80 km","12.60 km","15.20 km","","","","","","","","","","",""
"Split","split","Europe","Destroyer","VII","Tech Tree","16,600","16,600","6-20mm","0%","140 mm 5x1","10.80 km","4.0 s","15.0 s","12.0°/s","2.00","2,000","10,000","150,000","6.14","","","","","","","81","3.50 km","41.5 kt","640 m","5.2 s","7.00 km","3.50 km","2.80 km","","","","","","","","","","",""
"ST-61","st-61","Germany","Destroyer","IV","Premium","14,400","14,400","6-16 mm","0%","128mm SK C/34 4x1","10.30 km","4.0 s","22.5 s","8.0°/s","2.00","1,500","6,000","90,000","2.40","2,600","8 mm","10,400","156,000","","","","","36.0 kt","610 m","3.9 s","6.40 km","3.20 km","2.40 km","2x3","6.00 km","13,700","65.0 kt","68 s","1.30 km","Slot 1: Damage Control Party | Slot 2: Smoke Generator | Slot 3: Engine Boost","","","",""
"St. Louis","st-louis","U.S.A.","Cruiser","II","Tech Tree","27,000","27,000","6-102 mm","0%","152 mm 14x1","11.10 km","8.0 s","22.5 s","8.0°/s","1.80","2,100","16,800","126,000","3.30","3,000","10 mm","24,000","180,000","2.50 km","76.2 mm 18x1","10","1.00 km","22.0 kt","450 m","6.4 s","9.10 km","5.40 km","4.00 km","","","","","","","","","","",""
"Stalingrad","stalingrad","U.S.S.R.","Cruiser","★","Premium","65,000","83,200","6-617 mm","25%","305 mm 3x3","17.10 km","20.0 s","30.0 s","6.0°/s","2.40","4,500","40,500","121,500","2.92","8,800","21 mm","79,200","237,600","5.00 km","130 mm 6x2","375","5.70 km","35.0 kt","1130 m","12.5 s","14.40 km","9.00 km","11.70 km","","","","","","","","","","",""
"Stord","stord","Europe","Destroyer","V","Tech Tree","12,500","12,500","6-16mm","0%","120 mm 4x1","10.40 km","4.5 s","15.0 s","12.0°/s","2.00","1,900","7,600","101,333","4.19","","","","","","","26","3.50 km","39.0 kt","590 m","3.0 s","6.50 km","3.20 km","2.30 km","","","","","","","","","","",""
"Storozhevoi","storozhevoi","U.S.S.R.","Destroyer","II","Premium","7,800","7,800","6-13 mm","0%","102 mm 3x1","8.80 km","5.0 s","22.5 s","8.0°/s","2.00","1,500","4,500","54,000","2.35","1,800","7 mm","5,400","64,800","","","9","2.00 km","35.0 kt","490 m","2.1 s","5.90 km","3.00 km","2.00 km","","","","","","","","","","",""
"Strasbourg","strasbourg","France","Battleship","VI","Premium","58,000","82,360","16-360 mm","25%","330 mm 2x4","16.40 km","24.0 s","36.0 s","5.0°/s","1.80","4,800","38,400","96,000","2.42","9,700","23 mm","77,600","194,000","5.00 km","130 mm 2x2","103","5.20 km","30.0 kt","730 m","10.9 s","14.80 km","11.90 km","12.10 km","","","","","","","","","","",""
"Surrey","surrey","U.K.","Cruiser","VI","Tech Tree","35,300","45,184","6-152 mm","22%","203 mm 4x2","14.80 km","12.5 s","20.0 s","9.0°/s","2.00","3,300","26,400","126,720","3.72","4,500","14 mm","36,000","172,800","5.00 km","102 mm 4x2","250","5.00 km","30.0 kt","660 m","9.4 s","11.50 km","6.90 km","6.40 km","","","","","","","","","","",""
"Suwo","suwo","Japan","Battleship","VII","Tech Tree","72,700","103,234","19-508mm","25%","410 mm 2x3","17.40 km","28.0 s","45.0 s","4.0°/s","2.10","6,800","40,800","87,429","1.89","13,500","28 mm","81,000","173,571","5.00 km","127 mm 12x2","705","5.00 km","26.8 kt","890 m","22.0 s","15.80 km","12.70 km","15.40 km","","","","","","","","","","",""
"Suzuya","suzuya","Japan","Cruiser","VII","Premium","38,000","50,768","6-140 mm","10%","155 mm 5x3","15.30 km","10.0 s","25.7 s","7.0°/s","2.00","2,700","40,500","243,000","4.96","3,300","10 mm","49,500","297,000","5.00 km","127 mm 4x2","67","5.00 km","34.5 kt","750 m","5.6 s","12.30 km","7.40 km","6.00 km","","","","","","","","","","",""
"Svietlana","svietlana","U.S.S.R.","Cruiser","III","Tech Tree","24,600","24,600","6-125 mm","0%","130 mm 15x1","13.10 km","8.5 s","25.7 s","7.0°/s","2.00","1,900","15,200","107,294","4.28","2,500","9 mm","20,000","141,176","","","13","3.00 km","29.9 kt","590 m","7.2 s","10.90 km","6.60 km","4.60 km","","","","","","","","","","",""
"T-22","t-22","Germany","Destroyer","I","Tech Tree","13,000","13,000","10-16 mm","0%","105 mm 4x1","9.80 km","4.0 s","17.1 s","10.5°/s","2.00","1,200","4,800","72,000","2.78","2,300","7 mm","9,200","138,000","","","56","4.50 km","34.5 kt","540 m","2.9 s","5.80 km","2.90 km","2.00 km","","","","","","","","","","",""
"T-61","t-61","Germany","Destroyer","V","Premium","14,700","14,700","8-16 mm","0%","128 mm 4x1","10.30 km","4.0 s","22.5 s","8.0°/s","2.00","1,500","6,000","90,000","3.29","3,000","8 mm","12,000","180,000","","","45","3.50 km","35.0 kt","600 m","3.6 s","6.30 km","3.20 km","2.40 km","","","","","","","","","","",""
