"Commander","Nation","Class","Base Trait Name","Base Trait Effects","Row1_Col1_Name","Row1_Col1_Effects","Row1_Col2_Name","Row1_Col2_Effects","Row1_Col3_Name","Row1_Col3_Effects","Row2_Col1_Name","Row2_Col1_Effects","Row2_Col2_Name","Row2_Col2_Effects","Row2_Col3_Name","Row2_Col3_Effects","Row3_Col1_Name","Row3_Col1_Effects","Row3_Col2_Name","Row3_Col2_Effects","Row3_Col3_Name","Row3_Col3_Effects","Row4_Col1_Name","Row4_Col1_Effects","Row4_Col2_Name","Row4_Col2_Effects","Row4_Col3_Name","Row4_Col3_Effects","Row5_Col1_Name","Row5_Col1_Effects","Row5_Col2_Name","Row5_Col2_Effects","Row5_Col3_Name","Row5_Col3_Effects"
"AL Chapayev","ussr","Cruiser","Cavalier's Acumen","+10.0% Increase chances of incapacitating an enemy ship's module","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Intuitive","+5.0% Sonar duration | +5.0% Surveillance Radar duration","Velocious","+5.0% Maximum movement speed","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","","","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Cavalier of the Ether","+15.0% Cruiser's main gun HE shells damage (cruiser) | -90.0% Chances of HE shells causing fire [PENALTY]","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Equilibrium of Power","+30.0% Armor penetration of HE shells of your cruiser (cruiser) | -10.0% Cruiser's main gun HE shell damage (cruiser) [PENALTY] | -25.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) [PENALTY]"
"AL Cheshire","uk","Cruiser","Grin and Fire!","-3.0% Cruiser main battery reload time | -7.0% Incoming damage to your citadel","Piercer","+4.0% Penetration multiplier","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Bounce Right Back","-700.0% Maximum ricochet angle for shells that hit your cruiser | -700.0% Guaranteed ricochet angle for shells that hit your cruiser","","","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","","","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"AL Colorado","usa","Battleship","Focused Assault","-3.5% Battleship main battery reload time | +3.5% Battleship main battery shell grouping","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Courageous Shelling","-25.0% Main battery reload after your first shot of the battle and every following third shot","","","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"AL Dunkerque","france","Battleship","Floodgate","-20.0% Flooding damage to your ship.","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Frontal Fire","-95.0% Shell switch time | -5.0% Damage of your ship's shells [PENALTY]","Megalomania","-10.0% Reload time of battleship's main guns (battleship) | -25.0% Battleship's detectability time after firing main guns (battleship) | -5.0% Maximum HP [PENALTY]","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"AL Formidable","uk","Aircraft Carrier","Supporting Wings","+5.0% Aircraft torpedo damage against ships with less than 50% HP | +5.0% Aircraft HE bomb damage against ships with more than 50% HP | +5.0% Aircraft AP bomb damage against ships with more than 50% HP","A Good Day's Work","-8.0% Damage Control Party reload time","Swatting at Flies","+20.0% Your aircraft carrier's average AA damage per second (aircraft carrier) | +5.0% Increase destroyer SAP shell damage (destroyer)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Dark Silhouette","-12.0% Detectability of Aircraft Carriers (aircraft carrier)","On Alert","-4.5% Rudder shift time | -15.0% Damage Control Party cooldown time","Hidden Threat","-8.0% Detectability of torpedo bombers | +16.0% Torpedo bombers HP","Emergency Power","+4.0% Aircraft cruise speed","Out of Sight","-8.0% Detectability of dive bombers | +16.0% Dive bombers HP","Armoured Hangar","+8.0% Dive and skip bomber HP | +8.0% Torpedo bombers HP | -10.0% Restoration time for aircraft type when 50% or fewer planes of that type are in your hangar","Look at Me Now","-6.0% Sea detectability range","Burn, Baby, Burn!","+8.0% Chance of a fire being caused by the aircraft carrier's HE bombs (aircraft carrier) | +4.0% Aircraft carrier's HE bombs damage (aircraft carrier)","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","The Vault","+4.0% Torpedo Bomber HP | +4.0% Dive Bomber HP | -20.0% Incoming damage to your aircraft carrier (aircraft carrier)","",""
"AL Fusou","japan","Battleship","Cover Fire","+3.0% Chance of a fire being caused by the battleship's HE shells","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Battle Spirit","+8.0% Maximum HP | -8.0% Incoming damage to your battleship (battleship)","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"AL Graf Spee","germany","Cruiser","Pocket Battleship","+6.0% Amount of HP recovered","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Ghost","-8.0% Detectability of cruisers (cruiser) | -20.0% Air detectability range","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"AL Harbin","pan-asia","Cruiser","Dragon Power","+2.0% Chances of cruiser HE shells causing fire | +40.0% Cruiser torpedo flooding chance","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","Contact Is Imminent","+500.0% Torpedo speed","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Homerun","+10.0% Torpedo range","Look at Me Now","-6.0% Sea detectability range","Velocious","+5.0% Maximum movement speed","Back in Stock","-8.0% Torpedo launchers reload time","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Knuckle Duster","-10000.0% Detectability of your torpeodes | +40.0% Chance of your torpedoes incapacitating enemy ship's modules | -10.0% Torpedo damage [PENALTY]","Blazing Battledance","+4.0% Cruiser torpedo damage while inside a smoke screen (cruiser)","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","Killing Distance","-20000.0% Torpedo detectability | +6.0% Torpedo range | +20.0% Cruiser torpedoes deal extra damage depending on the distance traveled, reaching max damage at max range (cruiser)","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"AL Hipper","germany","Cruiser","Firewall","-10.0% Burning damage to your ship","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Before It's Too Late","+15.0% Torpedo detectability range","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Vice Defense","-16.0% Incoming damage for cruisers (cruiser) | +25.0% Damage Control Party reload time [PENALTY]","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"AL Hood","uk","Battleship","Torpedo Charmer","-10.0% Torpedo damage to your ship","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","","","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","Royal Navy's Glory","-10.0% Damage Control Party reload time | +7.0% Maximum battleship speed (battleship)","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"AL Littorio","italy","Battleship","Rosa Bombardamento","-10.0% Battleship's time of repair, fire extinguishing, and flooding recovery","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Sardegian Discipline","-8.0% Flooding damage to your battleship (battleship) | -8.0% Incoming splash damage","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Al Massachusetts","usa","Battleship","Big Mamie","+10.0% Secondary battery shells that travel over 5km deal extra damage","A Good Day's Work","-8.0% Damage Control Party reload time","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","2,700 Pounds of Justice","-12.0% Secondary battery reload time | +12.0% Battleship main battery damage while Enhanced Secondary Targeting is active (battleship)","","","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Secondary Interest","-35.0% Enchanced Secondary Targeting cooldown time | +200.0% Enhanced Secondary Targeting charges | -7.0% Secondary Battery Dispersion @L7.5 | -7.0% Secondary Battery Reload time @L7.5 | -7.0% Main Battery Reload Time @L7.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Unknown","unknown","unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL Montpelier","usa","Cruiser","Anti-Air Mode","+10.0% Crusier's AA gun firing range","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","","","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","All Out Assault","+4.0% Shell grouping of cruiser's main guns (cruiser) | +10.0% Incoming fire dispersion | +5.0% Incoming damage for cruisers (cruiser) [PENALTY]","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","Equilibrium of Power","+30.0% Armor penetration of HE shells of your cruiser (cruiser) | -10.0% Cruiser's main gun HE shell damage (cruiser) [PENALTY] | -25.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) [PENALTY]"
"AL Nelson","uk","Battleship","Like a Rock","-6.0% Incoming damage to your battleship","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Big Seven","+16.0% Battleship's main gun AP shells damage (battleship) | +16.0% Battleships main gun HE shell damage (battleship) | -15.0% Armor penetration of your battleship's shells (battleship) [PENALTY]","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","","","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"AL Neptune","uk","Cruiser","Battle Rage","+0.1% Deal extra AP damage per 1% HP lost","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Piercer","+4.0% Penetration multiplier","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","Before It's Too Late","+15.0% Torpedo detectability range","Homerun","+10.0% Torpedo range","","","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Light Fortress","-8.0% Incoming damage for cruisers (cruiser)","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","Goddess of the Sea","+5.0% Damage against cruisers (cruiser) | +5.0% Damage against destroyers | -5.0% Damage against battleships [PENALTY]","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"AL New Jersey","usa","Battleship","Freedom Through Firepower","+5.0% Main battery shells that travel over 10km deal extra damage","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","","","Reaching Out XXL","+8.0% Range of main guns","Dontcha Just Love It?","+15.0% Increased damage with citadel strikes | -7.0% Main battery dispersion [PENALTY]","","","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"AL Prinz Heinrich","germany","Battleship","Sic 'em, Eisen!","-5.0% Battleship detectability time aster firing main battery guns | +3.0% Battleship's main gun AP shells damage","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","You Should See the Other Guy","-12.0% Damage Control Party Reload time | +3.5% Risk of catching fire","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Heinrich's Hunch Punch","+8.0% Battleship main battery range (battleship) | +8.0% Battleship main battery shell grouping (battleship) | +15.0% Secondary Battery reload time [PENALTY] | -15.0% Secondary guns range [PENALTY]","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"AL Queen Elizabeth","uk","Battleship","Queen's Orders","-2.0% Reload time of battleship's main guns | +2.0% Battleship's main gun AP shells damage | +2.0% Shell grouping of battleship's main guns","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Sky Watch","+30.0% Spotter Duration | +200.0% Spotter Charges","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","","","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
